time(s)	seperation2(nm)
0	78.58348846
1	94.04903412
2	100.1325912
3	108.3842316
4	96.658638
5	101.1850281
6	85.26151276
7	96.10019684
8	91.40559387
9	90.72978973
10	95.31368256
11	69.00606537
12	106.2531967
13	88.19533539
14	114.3766403
15	99.72102356
16	81.57919312
17	58.62222672
18	81.92137146
19	73.166008
20	55.72925568
21	78.72931671
22	77.3145752
23	106.9738159
24	91.48802948
25	77.2482605
26	113.3071823
27	97.20430756
28	85.94934845
29	57.02157974
30	87.5715332
31	79.50373077
32	101.3397675
33	85.58091736
34	94.92457581
35	91.21347809
36	39.38658142
37	76.4615097
38	84.95014954
39	96.26441193
40	102.7835007
41	95.41024017
42	89.32263184
43	86.11676025
44	92.57936096
45	108.6698761
46	93.45566559
47	97.14693451
48	100.1477432
49	119.3268127
50	110.1888351
51	131.1851807
52	132.4506989
53	112.5380096
54	92.20174408
55	95.42507935
56	89.68477631
57	97.34836578
58	71.23403931
59	121.1420288
60	120.6460266
61	111.4775543
62	109.7657089
63	107.5153046
64	121.0757141
65	108.8978882
66	107.6780243
67	118.7017975
68	114.2940598
69	111.7884598
70	104.7496796
71	95.24965668
72	131.3382874
73	118.2031403
74	117.398819
75	119.1064911
76	122.5618286
77	146.2230377
78	111.2834091
79	99.43188477
80	132.348999
81	126.0038528
82	114.357338
83	96.1505661
84	86.66863251
85	114.8945541
86	106.9940491
87	99.2977066
88	106.8331604
89	89.06311798
90	100.1998367
91	125.2256699
92	108.3259888
93	114.7925034
94	116.022438
95	91.44589996
96	107.2593689
97	88.89816284
98	125.0752945
99	98.69178772
100	111.2271423
101	113.8200989
102	111.3690109
103	108.0316696
104	102.0831528
105	107.8071823
106	84.93097687
107	96.51451111
108	99.60653687
109	112.0489273
110	111.264595
111	115.7037811
112	127.4016342
113	119.2787552
114	94.75276947
115	113.6319656
116	132.7390747
117	123.9754639
118	134.6077271
119	106.5514984
120	129.6394958
